001a	Assenza di luna, novilunio
001b	Falce sottile di luna crescente
001c	Plenilunio
001d	Luna calante
002a	Al crepuscolo della mattina
002b	Al crepuscolo della sera
003	"baluginare"
004	Freddo pungente
005	A bacěo
006	All' ombra
007	Al riparo dal vento
007a	"la biscondola"
007b	Esposto al vento
008	A solatěo
009	Al sole
010	Tempo mite e piovoso
011	"dolco"
012	Caldo afoso
013	"alidore", "alido" (sost.)
013a	"alido" (agg.)
014	Piovigginare
017	Grandine
017a	"gragnola"
018	Neve
019	Fiocco di neve
020	Neve con pioggia
020a	Nevicare con pioggia
020b	"nevěschio"
021	Bufera di neve, tormenta
021a	Nevicare furiosamente con vento
021b	Nevicare a larghe falde
022	Tempesta
022a	Vento forte
023	Sciogliersi della neve
024	Ghiaccio sulle piante
025a	Nomi di giorni: "mčrcole"
025b	Nomi di giorni: "giove"
025c	Nomi di giorni: "včnere"
025B	"céppo"
026a	Nomi di mesi: "ferraio"
026b	Nomi di mesi: "abbrile"
026c	Nomi di mesi: "ogosto"
026d	Nomi di mesi: "ottopre"
027	"unguanno", "uguanno"
027a	"unguanno passo"
027b	L' anno passato
028	"al tocco"
029	Pomeriggio
030	Ruscello
030a	"berěgnolo"
030b	Canale del mulino
031a	Fosso profondo con acqua sul fondo
031b	Fosso profondo senza acqua sul fondo
032	Gola tra monti o colline
035	Luogo scosceso
036	"pettata"
037	Margine del campo
038	"proda"
039	Ciglio erboso di un fosso
040a	"piaggia"
040b	"greppo"
041a	Terreno non dissodato, mai lavorato
041b	Terreno non dissodato abbandonato
042	Porzione di terra tra due solchi
043	Porzione di terra tra due filari
044	Zolla con erba
045	Zolla senza erba
046	Fango
047	Ghiaia
048	Mucchio di sassi
049	Ciottolo di fiume
050	Pozzanghera
051	Pozza d' acqua in un torrente
052	Dosso sabbioso
052a	"tómbolo"
053	Strada tra i campi
053a	"rčdola" o "rčsola"
054	Stradina di montagna
055	Scorciatoia
056	Vicolo
057	Edera
058	Farfaro
058B	Gigaro
059	Alloro
060	Camomilla
061	Papavero
061a	Pianta del papavero
062	Raperonzoli
063	Terracrepoli
064a	Fiore di rapa
064b	Foglie di rapa
064c	Bulbo della rapa
065	Pimpinella
066	Rosmarino
067	Nepitella
068	Prezzemolo
069	Odori
070	Sedano
071	Ravanelli
072	"guaime"
072a	"sa di guaime"
073	Cetriolo
074	Vitalba
075	Acacia
076	Gelso
077	Sostegno vivo della vite
078a	Pioppo bianco
078b	Pioppo nero
079	Insieme di pioppi
080	Cipresso
080a	"cipressa"
081	Bacche del cipresso
082	Corniolo
083	Abete
084	Corbezzolo
085	Salice
085a	Eventuali nomi di piante dai rami flessibili
086	Ginepro
087	Bosco di castagni
088	Bosco di castagni giovani
089	Pollone di castagno
090	Terriccio di castagno
091	Riccio della castagna
092	Buccia interna della castagna
093	Castagne vuote contenute nel riccio
