NUMBER	ITALIAN
1	bischero
2	grasso
3	cenci
4	occhio
5	sugo
6	lumaca
7	manfano
8	pagliaia
9	bighellone
10	strabico
11	covata
12	becco
13	orso
14	succhiello
15	ronzone
16	ciuffo
17	cantonata
18	birignoccolo
19	scricciolo
20	ciglio
21	chiocciola
22	cavaocchi
23	edera
24	ramaiolo
25	citto
26	stracco
27	bruschetta
28	spigolo
29	camomilla
30	ziro
31	mangiatoia
32	cinghia
33	mirtilli
34	zittella
35	sagrato
36	mietitura
37	mollica
38	cintura
39	bazza
40	zeppa
41	trabiccolo
42	oca
43	piaggia
44	ghiaia
45	recinto
46	capocollo
47	favilla
48	bernoccolo
49	zizzola
50	sodo
51	segale
52	matassa
53	bindolo
54	mestone
55	capo
56	cispa
57	volpe
58	zolfanello
59	pozzanghera
60	ciocca
61	brindellone
62	capezzolo
63	grullo
64	gnocchi
65	salvastrella
66	beverone
67	strullo
68	idraulico
69	letame
70	cimitero
71	ginepro
72	ferraio
73	gazza
74	nervoso
75	di_traverso
76	licite
77	pipistrello
78	baccano
79	gabinetto
80	catasta
81	aspito
82	stoppia
83	gota
84	papero
85	alloro
86	magnano
87	spaccone
88	sottana
89	lupo
90	nappone
91	strolago
92	sciapito
93	odori
94	cacio
95	poggio
96	pupilla
97	chiacchierone
98	rozzo
99	borraccina
100	pelato
101	tartaruga
102	a_caso
103	terriccio
104	pollone
105	ciucco
106	acquaio
107	giubba
108	sedano
109	ape
110	zolla
111	cesta
112	padrino
113	brace
114	gazzera
115	cagnara
116	agnella
117	fiocco
118	soglia
119	casino
120	spazzatura
121	giomella
122	grattacacia
123	ghiacciaia
124	castagneto
125	unguanno_passo
126	broccione
127	nascondino
128	burrone
129	arcolaio
130	pendolo
131	biscia
132	salice
133	al_tocco
134	in_proda
135	cigna
136	livido
137	tarantola
138	focolare
139	pastone
140	nasone
141	gelso
142	cenciaiolo
143	balzo
144	mota
145	radice
146	compare
147	concio
148	midolla
149	imbranato
150	crivello
151	ceppa
152	castagnaccio
153	a_solatio
154	sciapo
155	asino
156	semola
157	chiorbone
158	vitalba
159	somaro
160	guercio
161	pappavero
162	ganza
163	albicocca
164	pagliuzza
165	puzzo
166	cinquale
167	popone
168	raspo
169	legnaiolo
170	bardella
171	salamandra
172	muschio
173	chiorba
174	caco
175	scoiattolo
176	soppressata
177	pastrano
178	coperchio
179	maiale
180	pinzo
181	guazza
182	formicola
183	braciola
184	spetezza
185	testo
186	brinata
187	sfoglia
188	grillo
189	uggioso
190	nottolo
191	materiale
192	paletto
193	lavatoio
194	aspite
195	topo
196	madonnina
197	bigotto
198	salsiccia
199	esoso
200	di_nascosto
201	tacchino
202	denti_occhiali
203	scapolo
204	cavalletta
205	bastone
206	cocomero
207	sputo
208	frana
209	moccolo
210	al_sole
211	pancia
212	ragazza
213	papavero
214	mattarello
215	compagno
216	rimpiattino
217	salcio
218	arancio
219	moine
220	lucignola
221	coccinella
222	puzzola
223	mogio
224	ciglia
225	calzoni
226	girino
227	tincone
228	fiammifero
229	trogolo
230	a_bacio
231	pecchia
232	in_ghingheri
233	pioppo
234	viottolo
235	sbronza
236	ricotta
237	trucioli
238	cenciaio
239	bubbola
240	locco
241	tartaglione
242	pagliaio
243	baciatura
244	prese
245	vitellino
246	verro
247	paniere
248	raganella
249	orzaiolo
250	testone
251	montone
252	bordello
253	zozzo
254	bambola
255	radica
256	formica
257	spranga
258	ditale
259	comare
260	sorcio
261	orecchio
262	pelliccia
263	pettata
264	segatura
265	bruscolo
266	bottiglia
267	andito
268	crognolo
269	susina
270	palco
271	piattola
272	uscio
273	cetriolo
274	bazzone
275	bastardo
276	filare
277	calabrone
278	pancione
279	fregatura
280	stregone
281	grembiale
282	fettina
283	fottio
284	lodola
285	ciccione
286	gemma
287	ghiandaia
288	chiasso
289	fringuello
290	caglio
291	ghiro
292	imbroglio
293	riccio
294	manciata
295	proda
296	cantuccio
297	rocchio
298	acino
299	capomilla
300	denti_macellari
301	panzanella
302	abeto
303	albero
304	borsa
305	fidanzato
306	cintola
307	sciamannato
308	zuccone
309	radici
310	ciucca
311	rigatino
312	scaldino
313	palo
314	scaldaletto
315	falegname
316	gallinella
317	porcino
318	bargigli
319	ravanelli
320	papera
321	raponzoli
322	dolco
323	tirchio
324	mortadella
325	melone
326	strizza
327	ciliegia
328	cesoie
329	chicco
330	dialetto
331	topino
332	maialino
333	bacchettone
334	capone
335	seccatoio
336	pignatta
337	cigli
338	camposanto
339	sciamannone
340	parlata
341	aghetto
342	migliaccio
343	scheggia
344	stalla
345	tuono
346	vaglio
347	muta
348	filone
349	becero
350	male_di_capo
351	primo_quarto
352	ciuco
353	fanfarone
354	stagnino
355	faraona
356	cipresso
357	noccola
358	fragola
359	golpe
360	avvezzo
361	rancico
362	rustico
363	ceppo
364	mento
365	talpa
366	scotta
367	prezzemolo
368	desinare
369	moscone
370	cimice
371	sporta
372	lucertola
373	maggiolino
374	tagliere
375	fango
376	cintolino
377	pancetta
378	fuliggine
379	a_cavalluccio
380	l__anno_scorso
381	tirato
382	luna_calante
383	bacherozzolo
384	occhiali
385	pettirosso
386	grappolo
387	crusca
388	male_di_testa
389	stradello
390	braciere
391	stolto
392	ciabatte
393	gomitolo
394	noioso
395	testa
396	cisoie
397	sciocco
398	di_sguincio
399	lampo
400	allodola
401	nottola
402	cinturino
403	ganzo
404	sbornia
405	agaiolo
406	balordo
407	unguanno
408	greppo
409	boccia
410	burischio
411	scimmia
412	vicolo
413	prete
414	grembiule
415	butto
416	luna_piena
417	farina_dolce
418	ragazzo
419	uncinetto
420	fosso
421	abete
422	vagabondo
423	macchia
424	sito
425	buzzo
426	lumacone
427	covone
428	schiacciata
429	pulcino
430	grattugia
431	pulenda_dolce
432	carbonaio
433	formaggio
434	caldano
435	salciccia
436	zazzera
437	fulminante
438	luna_crescente
439	acqua_cotta
440	altalena
441	ciccioli
442	scorciatoia
443	governo
444	nevischio
