NUMBER	ITALIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	bischero		???	
2	grasso	323	FAT (ORGANIC SUBSTANCE)	2
3	cenci		???
4	occhio	1248	EYE	2
5	sugo	1499	JUICE
6	lumaca	1543	SNAIL
7	manfano		???	
8	pagliaia		???	
9	bighellone		???	
10	strabico		???	
11	covata		???	
12	becco	73	BEAK
13	orso	1820	BEAR	2
14	succhiello		???	
15	ronzone		???	
16	ciuffo		???	
17	cantonata		???	
18	birignoccolo		???	
19	scricciolo		???	
20	ciglio	1540	EYELASH
21	chiocciola	1543	SNAIL	2
22	cavaocchi		???	
23	edera		???	
24	ramaiolo	2657	LADLE
25	citto		???	
26	stracco		???	
27	bruschetta		???	
28	spigolo	192	CORNER
29	camomilla		???	
30	ziro		???	
31	mangiatoia		???	
32	cinghia	2973	STRAP
33	mirtilli		???	
34	zittella		???	
35	sagrato		???	
36	mietitura	611	HARVEST
37	mollica		???	
38	cintura	772	BELT	2
39	bazza		???	
40	zeppa		???	
41	trabiccolo		???	
42	oca	1187	GOOSE
43	piaggia	3076	SLOPE
44	ghiaia	3028	GRAVEL
45	recinto		???	
46	capocollo		???	
47	favilla	518	SPARK
48	bernoccolo		???	
49	zizzola		???	
50	sodo	1884	HARD
51	segale	23	RYE
52	matassa		???	
53	bindolo		???	
54	mestone		???	
55	capo	1256	HEAD
56	cispa		???	
57	volpe	1312	FOX
58	zolfanello		???	
59	pozzanghera	2290	PUDDLE
60	ciocca		???	
61	brindellone		???	
62	capezzolo	796	NIPPLE	2
63	grullo		???	
64	gnocchi		???	
65	salvastrella		???	
66	beverone		???	
67	strullo		???	
68	idraulico		???	
69	letame	2057	DUNG (ANIMAL FAECES)	2
70	cimitero	3284	GRAVEYARD
71	ginepro		???	
72	ferraio	1001	BLACKSMITH
73	gazza	2039	MAGPIE
74	nervoso	3975	NERVOUS	2
75	di_traverso		???	
76	licite		???	
77	pipistrello	1793	BAT
78	baccano		???
79	gabinetto	219	TOILET
80	catasta		???
81	aspito		???	
82	stoppia		???	
83	gota	1730	CHEEK
84	papero		???	
85	alloro		???	
86	magnano		???	
87	spaccone		???	
88	sottana		???	
89	lupo	522	WOLF
90	nappone		???	
91	strolago		???	
92	sciapito		???	
93	odori	3704	ODOR (SMELL)
94	cacio	1569	CHEESE
95	poggio		???	
96	pupilla	1658	PUPIL
97	chiacchierone	2207	CHATTERER
98	rozzo	1923	ROUGH
99	borraccina	637	MOSS
100	pelato	1125	BALD
101	tartaruga	112	TURTLE	2
102	a_caso		???	
103	terriccio	1166	MOULD
104	pollone	546	SUCKER
105	ciucco		???	
106	acquaio	915	SINK (BASIN)
107	giubba	2770	JACKET
108	sedano	3727	CELERY
109	ape	665	BEE	2
110	zolla		???	
111	cesta	1539	BASKET
112	padrino		???	
113	brace	67	EMBERS
114	gazzera		???	
115	cagnara		???	
116	agnella	820	LAMB
117	fiocco		???	
118	soglia		???	
119	casino		???	
120	spazzatura	909	GARBAGE	2
121	giomella		???	
122	grattacacia		???	
123	ghiacciaia		???	
124	castagneto	1009	CHESTNUT TREE
125	unguanno_passo		???	
126	broccione		???	
127	nascondino		???	
128	burrone	1930	RAVINE
129	arcolaio		???	
130	pendolo		???	
131	biscia		???	
132	salice	818	WILLOW	2
133	al_tocco		???	
134	in_proda		???	
135	cigna		???	
136	livido		???	
137	tarantola	3886	TARANTULA
138	focolare	185	FIREPLACE
139	pastone	400	MUSH
140	nasone		???	
141	gelso		???	
142	cenciaiolo		???	
143	balzo		???	
144	mota		???	
145	radice	670	ROOT	2
146	compare		???	
147	concio		???	
148	midolla		???	
149	imbranato	3900	CLUMSY
150	crivello	3353	SIEVE (TOOL)
151	ceppa		???	
152	castagnaccio		???	
153	a_solatio		???	
154	sciapo	1771	TASTELESS
155	asino	1862	DONKEY
156	semola	2362	BRAN
157	chiorbone		???	
158	vitalba		???	
159	somaro	1862	DONKEY
160	guercio	87	SQUINT-EYED
161	pappavero		???
162	ganza		???	
163	albicocca	3730	APRICOT
164	pagliuzza	2299	STRAW
165	puzzo		???	
166	cinquale		???	
167	popone	507	MELON
168	raspo		???	
169	legnaiolo	1042	CARPENTER
170	bardella		???	
171	salamandra		???	
172	muschio	637	MOSS
173	chiorba		???	
174	caco		???	
175	scoiattolo	1628	SQUIRREL	2
176	soppressata		???	
177	pastrano		???	
178	coperchio		???	
179	maiale	1337	PIG	2
180	pinzo		???	
181	guazza	1977	DEW
182	formicola		???	
183	braciola		???	
184	spetezza		???	
185	testo		???	
186	brinata	2942	HOARFROST
187	sfoglia		???	
188	grillo	2354	CRICKET
189	uggioso		???	
190	nottolo		???	
191	materiale		???	
192	paletto	282	POLE
193	lavatoio		???	
194	aspite		???	
195	topo	1491	MOUSE	2
196	madonnina		???	
