ID,Name,Description,ColumnSpec,CLTS_BIPA,CLTS_Name,Lexibank_BIPA,Frequency,OccurrencePerVariety,OccurrencePerConcept
0062,b,voiced bilabial stop consonant,,b,voiced bilabial stop consonant,b,9134,213,83
0069,i,unrounded close front vowel,,i,unrounded close front vowel,i,26185,213,183
0073,s,voiceless alveolar sibilant fricative consonant,,s,voiceless alveolar sibilant fricative consonant,s,13812,213,116
006b,k,voiceless velar stop consonant,,k,voiceless velar stop consonant,k,10668,213,104
0065,e,unrounded close-mid front vowel,,e,unrounded close-mid front vowel,e,24332,213,205
0072,r,voiced alveolar trill consonant,,r,voiced alveolar trill consonant,r,26813,213,194
006f,o,rounded close-mid back vowel,,o,rounded close-mid back vowel,o,59339,213,322
0067,g,voiced velar stop consonant,,g,voiced velar stop consonant,g,7177,213,73
0061,a,unrounded open front vowel,,a,unrounded open front vowel,a,70217,213,302
0073-02d0,sː,long voiceless alveolar sibilant fricative consonant,,sː,long voiceless alveolar sibilant fricative consonant,sː,1388,213,25
0075,u,rounded close back vowel,,u,rounded close back vowel,u,9127,213,196
0074-0283,tʃ,voiceless post-alveolar sibilant affricate consonant,,tʃ,voiceless post-alveolar sibilant affricate consonant,tʃ,8140,213,71
006e,n,voiced alveolar nasal consonant,,n,voiced alveolar nasal consonant,n,24547,213,147
0283,ʃ,voiceless post-alveolar sibilant fricative consonant,,ʃ,voiceless post-alveolar sibilant fricative consonant,ʃ,3426,212,113
0254,ɔ,rounded open-mid back vowel,,ɔ,rounded open-mid back vowel,ɔ,8328,213,60
006b-02b2-02d0,kʲː,palatalized long voiceless velar stop consonant,,kʲː,palatalized long voiceless velar stop consonant,kʲː,1177,194,11
006b-02d0,kː,long voiceless velar stop consonant,,kː,long voiceless velar stop consonant,kː,4550,213,38
006a,j,voiced palatal approximant consonant,,j,voiced palatal approximant consonant,j,7274,213,92
0074-02b2-02d0,tʲː,palatalized long voiceless alveolar stop consonant,,tʲː,palatalized long voiceless alveolar stop consonant,tʲː,25,3,10
0263,ɣ,voiced velar fricative consonant,,ɣ,voiced velar fricative consonant,ɣ,785,100,23
006c,l,voiced alveolar lateral approximant consonant,,l,voiced alveolar lateral approximant consonant,l,19044,213,153
006d,m,voiced bilabial nasal consonant,,m,voiced bilabial nasal consonant,m,10646,213,69
0078,x,voiceless velar fricative consonant,,x,voiceless velar fricative consonant,x,357,70,28
0068,h,voiceless glottal fricative consonant,,h,voiceless glottal fricative consonant,h,1996,140,39
0061-02d0,aː,long unrounded open front vowel,,aː,long unrounded open front vowel,aː,12,10,4
025b,ɛ,unrounded open-mid front vowel,,ɛ,unrounded open-mid front vowel,ɛ,6762,213,88
0066,f,voiceless labio-dental fricative consonant,,f,voiceless labio-dental fricative consonant,f,4786,213,29
0070,p,voiceless bilabial stop consonant,,p,voiceless bilabial stop consonant,p,12428,213,86
028e-02d0,ʎː,long voiced palatal lateral approximant consonant,,ʎː,long voiced palatal lateral approximant consonant,ʎː,2511,213,21
006c-02d0,lː,long voiced alveolar lateral approximant consonant,,lː,long voiced alveolar lateral approximant consonant,lː,6312,213,48
0259,ə,unrounded mid central vowel,,ə,unrounded mid central vowel,ə,31,1,30
0074,t,voiceless alveolar stop consonant,,t,voiceless alveolar stop consonant,t,15699,213,130
03b2,β,voiced bilabial fricative consonant,,β,voiced bilabial fricative consonant,β,238,79,10
0062-02d0,bː,long voiced bilabial stop consonant,,bː,long voiced bilabial stop consonant,bː,452,211,17
0076,v,voiced labio-dental fricative consonant,,v,voiced labio-dental fricative consonant,v,3803,213,29
03b8,θ,voiceless dental fricative consonant,,θ,voiceless dental fricative consonant,θ,3654,143,53
0064,d,voiced alveolar stop consonant,,d,voiced alveolar stop consonant,d,6795,213,91
0074-0073,ts,voiceless alveolar sibilant affricate consonant,,ts,voiceless alveolar sibilant affricate consonant,ts,1642,213,27
0064-007a,dz,voiced alveolar sibilant affricate consonant,,dz,voiced alveolar sibilant affricate consonant,dz,800,211,12
014b,ŋ,voiced velar nasal consonant,,ŋ,voiced velar nasal consonant,ŋ,27,3,24
007a,z,voiced alveolar sibilant fricative consonant,,z,voiced alveolar sibilant fricative consonant,z,1314,212,28
0066-02d0,fː,long voiceless labio-dental fricative consonant,,fː,long voiceless labio-dental fricative consonant,fː,183,182,2
0064-02d0,dː,long voiced alveolar stop consonant,,dː,long voiced alveolar stop consonant,dː,15,7,13
