ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location
7_sillano,Sillano,,,,,,,,
11_arni,Arni,,,,,,,,
12_vaglidisotto,Vagli di Sotto,,,,,,,,
13_stazzema,Stazzema,,,,,,,,
14_camporgiano,Camporgiano,,,,,,,,
15_vergemoli,Vergemoli,,,,,,,,
16_pievefosciana,Pieve Fosciana,,,,,,,,
17_barga,Barga,,,,,,,,
18_sanpellegrinoinalpe,San Pellegrino in Alpe,,,,,,,,
19_brandeglio,Brandeglio,,,,,,,,
20_rivoreta,Rivoreta,,,,,,,,
21_popiglio,Popiglio,,,,,,,,
22_prunetta,Prunetta,,,,,,,,
23_orsigna,Orsigna,,,,,,,,
24_spedaletto,Spedaletto,,,,,,,,
25_castellodisambuca,Castello di Sambuca,,,,,,,,
26_treppio,Treppio,,,,,,,,
27_mercataledivernio,Mercatale di Vernio,,,,,,,,
28_barberinodimugello,Barberino di Mugello,,,,,,,,
29_firenzuola,Firenzuola,,,,,,,,
30_ronta,Ronta,,,,,,,,
33_pietrasanta,Pietrasanta,,,,,,,,
34_massarosa,Massarosa,,,,,,,,
35_vecchiano,Vecchiano,,,,,,,,
36_piazzano,Piazzano,,,,,,,,
37_pescaglia,Pescaglia,,,,,,,,
38_vorno,Vorno,,,,,,,,
39_anchiano,Anchiano,,,,,,,,
40_marlia,Marlia,,,,,,,,
41_porcari,Porcari,,,,,,,,
42_villabasilica,Villa Basilica,,,,,,,,
43_staffoli,Staffoli,,,,,,,,
44_chiesinauzzanese,Chiesina Uzzanese,,,,,,,,
45_pontito,Pontito,,,,,,,,
46_casoredelmonte,Casore del Monte,,,,,,,,
47_monsummano,Monsummano,,,,,,,,
48_cerretoguidi,Cerreto Guidi,,,,,,,,
49_gello,Gello,,,,,,,,
50_porciano,Porciano,,,,,,,,
51_montale,Montale,,,,,,,,
52_artimino,Artimino,,,,,,,,
53_sangiustoinpiazzanese,San Giusto in Piazzanese,,,,,,,,
54_figlinediprato,Figline di Prato,,,,,,,,
55_peretola,Peretola,,,,,,,,
56_legri,Legri,,,,,,,,
57_vaglia,Vaglia,,,,,,,,
58_molindelpiano,Molin del Piano,,,,,,,,
59_vicchio,Vicchio,,,,,,,,
60_rufina,Rufina,,,,,,,,
61_tosi,Tosi,,,,,,,,
62_dicomano,Dicomano,,,,,,,,
63_castagnodandrea,Castagno d'Andrea,,,,,,,,
64_stia,Stia,,,,,,,,
65_borgoallacollina,Borgo alla Collina,,,,,,,,
66_badiaprataglia,Badia Prataglia,,,,,,,,
67_caraffaello,Ca' Raffaello,,,,,,,,
68_marinadipisa,Marina di Pisa,,,,,,,,
69_mortaiolo,Mortaiolo,,,,,,,,
70_putignano,Putignano,,,,,,,,
71_fauglia,Fauglia,,,,,,,,
72_buti,Buti,,,,,,,,
73_pontedera,Pontedera,,,,,,,,
74_santopietroinbelvedere,Santo Pietro in Belvedere,,,,,,,,
75_palaia,Palaia,,,,,,,,
76_sanminiatoalto,San Miniato Alto,,,,,,,,
77_castelfiorentino,Castelfiorentino,,,,,,,,
78_montelupofiorentino,Montelupo Fiorentino,,,,,,,,
79_certaldo,Certaldo,,,,,,,,
80_montespertoli,Montespertoli,,,,,,,,
81_barberinovaldelsa,Barberino Val d'Elsa,,,,,,,,
82_montefiridolfi,Montefiridolfi,,,,,,,,
83_pozzolatico,Pozzolatico,,,,,,,,
84_greveinchianti,Greve in Chianti,,,,,,,,
85_sandonatoincollina,San Donato in Collina,,,,,,,,
86_incisainvaldarno,Incisa in Valdarno,,,,,,,,
87_cavriglia,Cavriglia,,,,,,,,
88_sangiovannivaldarno,San Giovanni Valdarno,,,,,,,,
89_piandisco,Pian di Sco',,,,,,,,
90_montemignaio,Montemignaio,,,,,,,,
91_lorociuffenna,Loro Ciuffenna,,,,,,,,
92_raggiolo,Raggiolo,,,,,,,,
93_castiglionfibocchi,Castiglion Fibocchi,,,,,,,,
94_talla,Talla,,,,,,,,
