ID,Name,Concepticon_ID,Concepticon_Gloss,Italian_Gloss
1_bischero,bischero,,,bischero
2_grasso,grasso,323,FAT (ORGANIC SUBSTANCE),grasso
3_cenci,cenci,,,cenci
4_occhio,occhio,1248,EYE,occhio
5_sugo,sugo,1499,JUICE,sugo
6_lumaca,lumaca,1543,SNAIL,lumaca
7_manfano,manfano,,,manfano
8_pagliaia,pagliaia,,,pagliaia
9_bighellone,bighellone,,,bighellone
10_strabico,strabico,,,strabico
11_covata,covata,,,covata
12_becco,becco,73,BEAK,becco
13_orso,orso,1820,BEAR,orso
14_succhiello,succhiello,,,succhiello
15_ronzone,ronzone,,,ronzone
16_ciuffo,ciuffo,,,ciuffo
17_cantonata,cantonata,,,cantonata
18_birignoccolo,birignoccolo,,,birignoccolo
19_scricciolo,scricciolo,,,scricciolo
20_ciglio,ciglio,1540,EYELASH,ciglio
21_chiocciola,chiocciola,1543,SNAIL,chiocciola
22_cavaocchi,cavaocchi,,,cavaocchi
23_edera,edera,,,edera
24_ramaiolo,ramaiolo,2657,LADLE,ramaiolo
25_citto,citto,,,citto
26_stracco,stracco,,,stracco
27_bruschetta,bruschetta,,,bruschetta
28_spigolo,spigolo,192,CORNER,spigolo
29_camomilla,camomilla,,,camomilla
30_ziro,ziro,,,ziro
31_mangiatoia,mangiatoia,,,mangiatoia
32_cinghia,cinghia,2973,STRAP,cinghia
33_mirtilli,mirtilli,,,mirtilli
34_zittella,zittella,,,zittella
35_sagrato,sagrato,,,sagrato
36_mietitura,mietitura,611,HARVEST,mietitura
37_mollica,mollica,,,mollica
38_cintura,cintura,772,BELT,cintura
39_bazza,bazza,,,bazza
40_zeppa,zeppa,,,zeppa
41_trabiccolo,trabiccolo,,,trabiccolo
42_oca,oca,1187,GOOSE,oca
43_piaggia,piaggia,3076,SLOPE,piaggia
44_ghiaia,ghiaia,3028,GRAVEL,ghiaia
45_recinto,recinto,,,recinto
46_capocollo,capocollo,,,capocollo
47_favilla,favilla,518,SPARK,favilla
48_bernoccolo,bernoccolo,,,bernoccolo
49_zizzola,zizzola,,,zizzola
50_sodo,sodo,1884,HARD,sodo
51_segale,segale,23,RYE,segale
52_matassa,matassa,,,matassa
53_bindolo,bindolo,,,bindolo
54_mestone,mestone,,,mestone
55_capo,capo,1256,HEAD,capo
56_cispa,cispa,,,cispa
57_volpe,volpe,1312,FOX,volpe
58_zolfanello,zolfanello,,,zolfanello
59_pozzanghera,pozzanghera,2290,PUDDLE,pozzanghera
60_ciocca,ciocca,,,ciocca
61_brindellone,brindellone,,,brindellone
62_capezzolo,capezzolo,796,NIPPLE,capezzolo
63_grullo,grullo,,,grullo
64_gnocchi,gnocchi,,,gnocchi
65_salvastrella,salvastrella,,,salvastrella
66_beverone,beverone,,,beverone
67_strullo,strullo,,,strullo
68_idraulico,idraulico,,,idraulico
69_letame,letame,2057,DUNG (ANIMAL FAECES),letame
70_cimitero,cimitero,3284,GRAVEYARD,cimitero
71_ginepro,ginepro,,,ginepro
72_ferraio,ferraio,1001,BLACKSMITH,ferraio
73_gazza,gazza,2039,MAGPIE,gazza
74_nervoso,nervoso,3975,NERVOUS,nervoso
75_ditraverso,di_traverso,,,di_traverso
76_licite,licite,,,licite
77_pipistrello,pipistrello,1793,BAT,pipistrello
78_baccano,baccano,,,baccano
79_gabinetto,gabinetto,219,TOILET,gabinetto
80_catasta,catasta,,,catasta
81_aspito,aspito,,,aspito
82_stoppia,stoppia,,,stoppia
83_gota,gota,1730,CHEEK,gota
84_papero,papero,,,papero
85_alloro,alloro,,,alloro
86_magnano,magnano,,,magnano
87_spaccone,spaccone,,,spaccone
88_sottana,sottana,,,sottana
89_lupo,lupo,522,WOLF,lupo
90_nappone,nappone,,,nappone
91_strolago,strolago,,,strolago
92_sciapito,sciapito,,,sciapito
93_odori,odori,3704,ODOR (SMELL),odori
94_cacio,cacio,1569,CHEESE,cacio
95_poggio,poggio,,,poggio
96_pupilla,pupilla,1658,PUPIL,pupilla
97_chiacchierone,chiacchierone,2207,CHATTERER,chiacchierone
98_rozzo,rozzo,1923,ROUGH,rozzo
99_borraccina,borraccina,637,MOSS,borraccina
100_pelato,pelato,1125,BALD,pelato
101_tartaruga,tartaruga,112,TURTLE,tartaruga
102_acaso,a_caso,,,a_caso
103_terriccio,terriccio,1166,MOULD,terriccio
104_pollone,pollone,546,SUCKER,pollone
105_ciucco,ciucco,,,ciucco
106_acquaio,acquaio,915,SINK (BASIN),acquaio
107_giubba,giubba,2770,JACKET,giubba
108_sedano,sedano,3727,CELERY,sedano
109_ape,ape,665,BEE,ape
110_zolla,zolla,,,zolla
111_cesta,cesta,1539,BASKET,cesta
112_padrino,padrino,,,padrino
113_brace,brace,67,EMBERS,brace
114_gazzera,gazzera,,,gazzera
115_cagnara,cagnara,,,cagnara
116_agnella,agnella,820,LAMB,agnella
117_fiocco,fiocco,,,fiocco
118_soglia,soglia,,,soglia
119_casino,casino,,,casino
120_spazzatura,spazzatura,909,GARBAGE,spazzatura
121_giomella,giomella,,,giomella
122_grattacacia,grattacacia,,,grattacacia
123_ghiacciaia,ghiacciaia,,,ghiacciaia
124_castagneto,castagneto,1009,CHESTNUT TREE,castagneto
125_unguannopasso,unguanno_passo,,,unguanno_passo
126_broccione,broccione,,,broccione
127_nascondino,nascondino,,,nascondino
128_burrone,burrone,1930,RAVINE,burrone
129_arcolaio,arcolaio,,,arcolaio
130_pendolo,pendolo,,,pendolo
131_biscia,biscia,,,biscia
132_salice,salice,818,WILLOW,salice
133_altocco,al_tocco,,,al_tocco
134_inproda,in_proda,,,in_proda
135_cigna,cigna,,,cigna
136_livido,livido,,,livido
137_tarantola,tarantola,3886,TARANTULA,tarantola
138_focolare,focolare,185,FIREPLACE,focolare
139_pastone,pastone,400,MUSH,pastone
140_nasone,nasone,,,nasone
141_gelso,gelso,,,gelso
142_cenciaiolo,cenciaiolo,,,cenciaiolo
143_balzo,balzo,,,balzo
144_mota,mota,,,mota
145_radice,radice,670,ROOT,radice
146_compare,compare,,,compare
147_concio,concio,,,concio
148_midolla,midolla,,,midolla
149_imbranato,imbranato,3900,CLUMSY,imbranato
150_crivello,crivello,3353,SIEVE (TOOL),crivello
151_ceppa,ceppa,,,ceppa
152_castagnaccio,castagnaccio,,,castagnaccio
153_asolatio,a_solatio,,,a_solatio
154_sciapo,sciapo,1771,TASTELESS,sciapo
155_asino,asino,1862,DONKEY,asino
156_semola,semola,2362,BRAN,semola
157_chiorbone,chiorbone,,,chiorbone
158_vitalba,vitalba,,,vitalba
159_somaro,somaro,1862,DONKEY,somaro
160_guercio,guercio,87,SQUINT-EYED,guercio
161_pappavero,pappavero,,,pappavero
162_ganza,ganza,,,ganza
163_albicocca,albicocca,,,albicocca
164_pagliuzza,pagliuzza,,,pagliuzza
165_puzzo,puzzo,,,puzzo
166_cinquale,cinquale,,,cinquale
167_popone,popone,,,popone
168_raspo,raspo,,,raspo
169_legnaiolo,legnaiolo,,,legnaiolo
170_bardella,bardella,,,bardella
171_salamandra,salamandra,,,salamandra
172_muschio,muschio,,,muschio
173_chiorba,chiorba,,,chiorba
174_caco,caco,,,caco
175_scoiattolo,scoiattolo,1628,SQUIRREL,scoiattolo
176_soppressata,soppressata,,,soppressata
177_pastrano,pastrano,,,pastrano
178_coperchio,coperchio,,,coperchio
179_maiale,maiale,1337,PIG,maiale
180_pinzo,pinzo,,,pinzo
181_guazza,guazza,,,guazza
182_formicola,formicola,,,formicola
183_braciola,braciola,,,braciola
184_spetezza,spetezza,,,spetezza
