ID,Name,Concepticon_ID,Concepticon_Gloss,Italian_Gloss
185_testo,testo,,,testo
186_brinata,brinata,,,brinata
187_sfoglia,sfoglia,,,sfoglia
188_grillo,grillo,,,grillo
189_uggioso,uggioso,,,uggioso
190_nottolo,nottolo,,,nottolo
191_materiale,materiale,,,materiale
192_paletto,paletto,,,paletto
193_lavatoio,lavatoio,,,lavatoio
194_aspite,aspite,,,aspite
195_topo,topo,1491,MOUSE,topo
196_madonnina,madonnina,,,madonnina
197_bigotto,bigotto,,,bigotto
198_salsiccia,salsiccia,,,salsiccia
199_esoso,esoso,,,esoso
200_dinascosto,di_nascosto,,,di_nascosto
201_tacchino,tacchino,,,tacchino
202_dentiocchiali,denti_occhiali,,,denti_occhiali
203_scapolo,scapolo,,,scapolo
204_cavalletta,cavalletta,,,cavalletta
205_bastone,bastone,1295,STICK,bastone
206_cocomero,cocomero,,,cocomero
207_sputo,sputo,,,sputo
208_frana,frana,,,frana
209_moccolo,moccolo,,,moccolo
210_alsole,al_sole,,,al_sole
211_pancia,pancia,1251,BELLY,pancia
212_ragazza,ragazza,1646,GIRL,ragazza
213_papavero,papavero,,,papavero
214_mattarello,mattarello,,,mattarello
215_compagno,compagno,,,compagno
216_rimpiattino,rimpiattino,,,rimpiattino
217_salcio,salcio,,,salcio
218_arancio,arancio,,,arancio
219_moine,moine,,,moine
220_lucignola,lucignola,,,lucignola
221_coccinella,coccinella,,,coccinella
222_puzzola,puzzola,,,puzzola
223_mogio,mogio,,,mogio
224_ciglia,ciglia,,,ciglia
225_calzoni,calzoni,,,calzoni
226_girino,girino,,,girino
227_tincone,tincone,,,tincone
228_fiammifero,fiammifero,1133,MATCH,fiammifero
229_trogolo,trogolo,,,trogolo
230_abacio,a_bacio,,,a_bacio
231_pecchia,pecchia,,,pecchia
232_inghingheri,in_ghingheri,,,in_ghingheri
233_pioppo,pioppo,,,pioppo
234_viottolo,viottolo,,,viottolo
235_sbronza,sbronza,,,sbronza
236_ricotta,ricotta,,,ricotta
237_trucioli,trucioli,,,trucioli
238_cenciaio,cenciaio,,,cenciaio
239_bubbola,bubbola,,,bubbola
240_locco,locco,,,locco
241_tartaglione,tartaglione,,,tartaglione
242_pagliaio,pagliaio,,,pagliaio
243_baciatura,baciatura,,,baciatura
244_prese,prese,,,prese
245_vitellino,vitellino,,,vitellino
246_verro,verro,,,verro
247_paniere,paniere,,,paniere
248_raganella,raganella,,,raganella
249_orzaiolo,orzaiolo,,,orzaiolo
250_testone,testone,,,testone
251_montone,montone,,,montone
252_bordello,bordello,,,bordello
253_zozzo,zozzo,,,zozzo
254_bambola,bambola,1659,DOLL,bambola
255_radica,radica,,,radica
256_formica,formica,587,ANT,formica
257_spranga,spranga,,,spranga
258_ditale,ditale,,,ditale
259_comare,comare,,,comare
260_sorcio,sorcio,,,sorcio
261_orecchio,orecchio,1247,EAR,orecchio
262_pelliccia,pelliccia,580,FUR,pelliccia
263_pettata,pettata,,,pettata
264_segatura,segatura,,,segatura
265_bruscolo,bruscolo,,,bruscolo
266_bottiglia,bottiglia,1321,BOTTLE,bottiglia
267_andito,andito,,,andito
268_crognolo,crognolo,,,crognolo
269_susina,susina,,,susina
270_palco,palco,,,palco
271_piattola,piattola,,,piattola
272_uscio,uscio,,,uscio
273_cetriolo,cetriolo,496,CUCUMBER,cetriolo
274_bazzone,bazzone,,,bazzone
275_bastardo,bastardo,1947,BASTARD,bastardo
276_filare,filare,,,filare
277_calabrone,calabrone,,,calabrone
278_pancione,pancione,,,pancione
279_fregatura,fregatura,,,fregatura
280_stregone,stregone,,,stregone
281_grembiale,grembiale,,,grembiale
282_fettina,fettina,,,fettina
283_fottio,fottio,,,fottio
284_lodola,lodola,,,lodola
285_ciccione,ciccione,,,ciccione
286_gemma,gemma,,,gemma
287_ghiandaia,ghiandaia,,,ghiandaia
288_chiasso,chiasso,,,chiasso
289_fringuello,fringuello,,,fringuello
290_caglio,caglio,,,caglio
291_ghiro,ghiro,,,ghiro
292_imbroglio,imbroglio,,,imbroglio
293_riccio,riccio,,,riccio
294_manciata,manciata,,,manciata
295_proda,proda,113,SHORE,proda
296_cantuccio,cantuccio,,,cantuccio
297_rocchio,rocchio,,,rocchio
298_acino,acino,,,acino
299_capomilla,capomilla,,,capomilla
300_dentimacellari,denti_macellari,,,denti_macellari
301_panzanella,panzanella,,,panzanella
302_abeto,abeto,,,abeto
303_albero,albero,906,TREE,albero
304_borsa,borsa,,,borsa
305_fidanzato,fidanzato,,,fidanzato
306_cintola,cintola,,,cintola
307_sciamannato,sciamannato,,,sciamannato
308_zuccone,zuccone,,,zuccone
309_radici,radici,,,radici
310_ciucca,ciucca,,,ciucca
311_rigatino,rigatino,,,rigatino
312_scaldino,scaldino,,,scaldino
313_palo,palo,,,palo
314_scaldaletto,scaldaletto,,,scaldaletto
315_falegname,falegname,,,falegname
316_gallinella,gallinella,,,gallinella
317_porcino,porcino,,,porcino
318_bargigli,bargigli,,,bargigli
319_ravanelli,ravanelli,,,ravanelli
320_papera,papera,,,papera
321_raponzoli,raponzoli,,,raponzoli
322_dolco,dolco,,,dolco
323_tirchio,tirchio,,,tirchio
324_mortadella,mortadella,,,mortadella
325_melone,melone,,,melone
326_strizza,strizza,,,strizza
327_ciliegia,ciliegia,,,ciliegia
328_cesoie,cesoie,,,cesoie
329_chicco,chicco,,,chicco
330_dialetto,dialetto,,,dialetto
331_topino,topino,,,topino
332_maialino,maialino,,,maialino
333_bacchettone,bacchettone,,,bacchettone
334_capone,capone,,,capone
335_seccatoio,seccatoio,,,seccatoio
336_pignatta,pignatta,,,pignatta
337_cigli,cigli,,,cigli
338_camposanto,camposanto,,,camposanto
339_sciamannone,sciamannone,,,sciamannone
340_parlata,parlata,,,parlata
341_aghetto,aghetto,,,aghetto
342_migliaccio,migliaccio,,,migliaccio
343_scheggia,scheggia,,,scheggia
344_stalla,stalla,,,stalla
345_tuono,tuono,,,tuono
346_vaglio,vaglio,,,vaglio
347_muta,muta,,,muta
348_filone,filone,,,filone
349_becero,becero,,,becero
350_maledicapo,male_di_capo,,,male_di_capo
351_primoquarto,primo_quarto,,,primo_quarto
352_ciuco,ciuco,,,ciuco
353_fanfarone,fanfarone,,,fanfarone
354_stagnino,stagnino,,,stagnino
355_faraona,faraona,,,faraona
356_cipresso,cipresso,,,cipresso
357_noccola,noccola,,,noccola
358_fragola,fragola,3138,STRAWBERRY,fragola
359_golpe,golpe,,,golpe
360_avvezzo,avvezzo,,,avvezzo
361_rancico,rancico,,,rancico
362_rustico,rustico,,,rustico
363_ceppo,ceppo,,,ceppo
364_mento,mento,1510,CHIN,mento
365_talpa,talpa,,,talpa
366_scotta,scotta,,,scotta
367_prezzemolo,prezzemolo,,,prezzemolo
368_desinare,desinare,,,desinare
369_moscone,moscone,,,moscone
370_cimice,cimice,,,cimice
371_sporta,sporta,,,sporta
372_lucertola,lucertola,,,lucertola
373_maggiolino,maggiolino,,,maggiolino
374_tagliere,tagliere,,,tagliere
375_fango,fango,,,fango
376_cintolino,cintolino,,,cintolino
377_pancetta,pancetta,,,pancetta
378_fuliggine,fuliggine,,,fuliggine
379_acavalluccio,a_cavalluccio,,,a_cavalluccio
380_lannoscorso,l__anno_scorso,,,l__anno_scorso
381_tirato,tirato,,,tirato
382_lunacalante,luna_calante,,,luna_calante
383_bacherozzolo,bacherozzolo,,,bacherozzolo
384_occhiali,occhiali,1898,SPECTACLES,occhiali
385_pettirosso,pettirosso,,,pettirosso
386_grappolo,grappolo,,,grappolo
387_crusca,crusca,,,crusca
388_maleditesta,male_di_testa,,,male_di_testa
389_stradello,stradello,,,stradello
390_braciere,braciere,,,braciere
391_stolto,stolto,,,stolto
392_ciabatte,ciabatte,,,ciabatte
393_gomitolo,gomitolo,,,gomitolo
394_noioso,noioso,,,noioso
395_testa,testa,1256,HEAD,testa
396_cisoie,cisoie,,,cisoie
397_sciocco,sciocco,,,sciocco
398_disguincio,di_sguincio,,,di_sguincio
399_lampo,lampo,,,lampo
400_allodola,allodola,,,allodola
401_nottola,nottola,,,nottola
402_cinturino,cinturino,,,cinturino
403_ganzo,ganzo,,,ganzo
404_sbornia,sbornia,,,sbornia
405_agaiolo,agaiolo,,,agaiolo
406_balordo,balordo,,,balordo
407_unguanno,unguanno,,,unguanno
408_greppo,greppo,,,greppo
409_boccia,boccia,,,boccia
410_burischio,burischio,,,burischio
411_scimmia,scimmia,1350,MONKEY,scimmia
412_vicolo,vicolo,,,vicolo
413_prete,prete,852,PRIEST,prete
414_grembiule,grembiule,,,grembiule
415_butto,butto,,,butto
416_lunapiena,luna_piena,,,luna_piena
417_farinadolce,farina_dolce,,,farina_dolce
418_ragazzo,ragazzo,1366,BOY,ragazzo
419_uncinetto,uncinetto,,,uncinetto
420_fosso,fosso,,,fosso
421_abete,abete,1915,FIR,abete
422_vagabondo,vagabondo,,,vagabondo
423_macchia,macchia,,,macchia
424_sito,sito,,,sito
425_buzzo,buzzo,,,buzzo
426_lumacone,lumacone,,,lumacone
427_covone,covone,,,covone
428_schiacciata,schiacciata,,,schiacciata
429_pulcino,pulcino,,,pulcino
430_grattugia,grattugia,,,grattugia
431_pulendadolce,pulenda_dolce,,,pulenda_dolce
432_carbonaio,carbonaio,,,carbonaio
433_formaggio,formaggio,1569,CHEESE,formaggio
434_caldano,caldano,,,caldano
435_salciccia,salciccia,,,salciccia
436_zazzera,zazzera,,,zazzera
437_fulminante,fulminante,,,fulminante
438_lunacrescente,luna_crescente,,,luna_crescente
439_acquacotta,acqua_cotta,,,acqua_cotta
440_altalena,altalena,3101,SWING,altalena
441_ciccioli,ciccioli,,,ciccioli
442_scorciatoia,scorciatoia,,,scorciatoia
443_governo,governo,,,governo
444_nevischio,nevischio,,,nevischio
