ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Context,Frequency
100_capresemichelangelo_0062,100_capresemichelangelo,0062,b,,,tuscan,,52
101_pievesantostefano_0062,101_pievesantostefano,0062,b,,,tuscan,,48
102_anghiari_0062,102_anghiari,0062,b,,,tuscan,,47
103_sansepolcro_0062,103_sansepolcro,0062,b,,,tuscan,,33
104_badiatedalda_0062,104_badiatedalda,0062,b,,,tuscan,,42
105_sestino_0062,105_sestino,0062,b,,,tuscan,,36
106_antignano_0062,106_antignano,0062,b,,,tuscan,,46
107_rosignanomarittimo_0062,107_rosignanomarittimo,0062,b,,,tuscan,,48
108_cecina_0062,108_cecina,0062,b,,,tuscan,,45
109_orcianopisano_0062,109_orcianopisano,0062,b,,,tuscan,,43
11_arni_0062,11_arni,0062,b,,,tuscan,,50
110_bibbona_0062,110_bibbona,0062,b,,,tuscan,,46
111_riparbella_0062,111_riparbella,0062,b,,,tuscan,,49
112_chianni_0062,112_chianni,0062,b,,,tuscan,,46
113_querceto_0062,113_querceto,0062,b,,,tuscan,,40
114_laiatico_0062,114_laiatico,0062,b,,,tuscan,,44
115_montecatinivaldicecina_0062,115_montecatinivaldicecina,0062,b,,,tuscan,,45
116_volterra_0062,116_volterra,0062,b,,,tuscan,,51
117_pomarance_0062,117_pomarance,0062,b,,,tuscan,,48
118_iano_0062,118_iano,0062,b,,,tuscan,,39
119_castelsangimignano_0062,119_castelsangimignano,0062,b,,,tuscan,,41
12_vaglidisotto_0062,12_vaglidisotto,0062,b,,,tuscan,,34
120_sangimignano_0062,120_sangimignano,0062,b,,,tuscan,,56
122_collevaldelsa_0062,122_collevaldelsa,0062,b,,,tuscan,,51
123_maggiano_0062,123_maggiano,0062,b,,,tuscan,,38
124_ancaiano_0062,124_ancaiano,0062,b,,,tuscan,,41
125_costalpino_0062,125_costalpino,0062,b,,,tuscan,,49
126_fonterutoli_0062,126_fonterutoli,0062,b,,,tuscan,,44
127_quercegrossa_0062,127_quercegrossa,0062,b,,,tuscan,,49
128_raddainchianti_0062,128_raddainchianti,0062,b,,,tuscan,,42
129_nusenna_0062,129_nusenna,0062,b,,,tuscan,,37
130_torreacastello_0062,130_torreacastello,0062,b,,,tuscan,,40
131_ambra_0062,131_ambra,0062,b,,,tuscan,,45
132_perginevaldarno_0062,132_perginevaldarno,0062,b,,,tuscan,,40
133_montesansavino_0062,133_montesansavino,0062,b,,,tuscan,,41
134_civitellainvaldichiana_0062,134_civitellainvaldichiana,0062,b,,,tuscan,,43
135_olmo_0062,135_olmo,0062,b,,,tuscan,,52
136_brolio_0062,136_brolio,0062,b,,,tuscan,,37
137_castiglionfiorentino_0062,137_castiglionfiorentino,0062,b,,,tuscan,,45
138_palazzodelpero_0062,138_palazzodelpero,0062,b,,,tuscan,,27
139_valledame_0062,139_valledame,0062,b,,,tuscan,,27
14_camporgiano_0062,14_camporgiano,0062,b,,,tuscan,,38
140_monterchi_0062,140_monterchi,0062,b,,,tuscan,,37
141_capraia_0062,141_capraia,0062,b,,,tuscan,,24
142_sanvincenzo_0062,142_sanvincenzo,0062,b,,,tuscan,,51
